"","position","company","description"
"784","GSAM Technology - Data Science and Machine Learning Engineer","goldman sachs","MORE ABOUT THIS JOB
What We Do
At Goldman Sachs, our Engineers don＊t just make things 每 we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn data into action. Create new businesses, transform finance, and explore a world of opportunity at the speed of markets.

Engineering, which is comprised of our Technology Division and global strategists groups, is at the critical center of our business, and our dynamic environment requires innovative strategic thinking and immediate, real solutions. Want to push the limit of digital possibilities? Start here.

Who We Look For
Goldman Sachs Engineers are innovators and problem-solvers, building solutions in risk management, big data, mobile and more. We look for creative collaborators who evolve, adapt to change and thrive in a fast-paced global environment.

Goldman Sachs Investment Management Division delivers innovative investment solutions through a global, multi-product platform that offers clients the advantages that come with working with a large firm, while maintaining the benefits of a boutique. IMD is one of the pre-eminent investment management organizations globally. Critical to the success of IMD is our ability to leverage a global team of talented professionals to define solutions and lead change across the operational infrastructure.

IMD Knowledge Management team is looking to expand its presence in New York with the addition of a senior data scientist and machine learning engineer. The team is responsible for building and deploying a world-class information management platform. This role will offer challenging opportunities for performance-driven growth in a team oriented environment and includes direct exposure to multiple businesses.

RESPONSIBILITIES AND QUALIFICATIONS
Job Responsibilities
Leverage machine learning and natural language processing to provide semantic intelligence to our software platforms
Actively participate in all phases of software development lifecycle: analysis, technical design, planning, development, testing, release, production support
Build partnerships with research analysts and portfolio managers to drive efficiency in their use of our research technology platform
Work closely with technology and strategy teams across the firm to build high quality, secure, and maintainable systems using approved tools and software development practices
Develop deep Investment Management business knowledge; interact with business functions and technology teams across IMD and the wider Goldman Sachs group, Goldman Sachs Asset Management is one of the world's leading asset management institutions. GSAM delivers innovative investment solutions on a global, multi-product platform. Our products include Hedge Funds, Private Equity, Fund of Funds, Quantitative Strategies, Fixed Income, Fundamental Equity and a Global Portfolio Solutions Business. GSAM Technology is directly aligned to the business. Software is engineered in a fast-paced, dynamic environment, adapting to market and customer needs to deliver robust solutions in an ever-changing business environment. GSAM Technology builds on top of cutting edge in-house platforms complimented with a strong focus on leveraging open source solutions, Engineer tools and services that bring unification and scale to Asset Management division, providing solutions that span Sales, Client Servicing, Research, Portfolio Management and Trading.
Basic Qualifications
Extensive knowledge of natural language processing and machine learning techniques and ability to apply them at a professional level
Proficiency in multiple programming languages including Java and Python, willing to learn new languages as needed
High degree of proficiency in data analysis and preparation techniques
Strong quantitative skills with the ability to apply both simple and complex statistical methods
Extensive knowledge of natural language processing and machine learning techniques and ability to apply them at a professional level
Experienced in imperative, functional and object-oriented programming paradigms and know when to use which
Focused on developing scalable solutions that solve a particular problem, but are generalized to the right level such that the same solution can be applied to other problems
Embrace test-driven development and other agile techniques in order to produce quality software. Constantly try to improve existing systems / architecture
Keep on top of the latest advancements in software development
Willingness to join a small team of like-minded, quality focused professionals in a fast-paced environment with high focus on product delivery and constant innovation where you will be able to make a significant impact to the overall platform
ABOUT GOLDMAN SACHS
The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world.

<U+00A9> The Goldman Sachs Group, Inc., 2018. All rights reserved Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Vet."
"785","Machine Learning/NLP Engineer","alpha","Alpha is a venture-backed start-up based in New York, NY and our platform enables management teams to make data-driven decisions about users, products, and new markets.
At Alpha we are passionate about enabling teams to make data-driven decisions about users, products, and new markets. We believe the best path there involves more shots on goal 每 by vastly accelerating our clients＊ abilities to learn we can help them build better products faster. We＊re looking for a talented Machine Learning/NLP Engineer with a strong appreciation for simple, effective architecture and rapid experimentation. This position is full-time and on-site at our SoHo (NYC) office.
Responsibilities:

- Independently work on end-to-end development of NLP models to derive insights from text- Lead NLP projects and develop models in collaboration with team members
Mentor less experienced members of the teamWork with stakeholders to refine requirements and communicate progressWork with the team to develop a system for semantic search, entity recognition, knowledge graph creation, transcription, paraphrase detection, question answering etc.Train deep learning models with internal and external NLP datasetsDeploy models to production and monitor performanceDevelop original ideas to create cognitive systemsParticipate in internal and external forums
Requirements3+ years of NLP experienceMS in Computer Science with NLP specialization. PhD preferred
Helpful to have:
Extensive experience in applying different NLP techniques to problems such as sentence summarization, question answering, sentiment analysis, knowledge extraction and conversational botsExpertise in NLP methods such as LSA, LDA, Semantic Hashing, Word2Vec, LSTM, BiDAF etc.Strong command over linear algebra and statistics having the ability to quickly translate ideas to efficient, elegant codeDevelopment experience in Python or Java/Scala with good command over respective data pipelining, matrix algebra and statistics librariesStanford CoreNLP and other NLP tool kitsDeep learning programming experience with Python/Tensorflow or similar library in a GPU environmentExperience working with external reference datasets like SQUAD, SemEval, MSRP, WikTable, WikiQA, AllenAI etc.Tuning and optimization of sequential deep learning modelsModel deployment and scaling experience"
"786","HCM, Organizational Research 每 Associate 每 New York","goldman sachs","MORE ABOUT THIS JOB
HUMAN CAPITAL MANAGEMENT
Our division recruits, develops and rewards the people of Goldman Sachs. Our teams advise, design and implement strategies, processes and technologies that help our people advance professionally, drive productivity and help the firm and our clients achieve superior results. We look for individuals with strong problem solving and analytical skills, innovative thinking and intellectual curiosity who want to make an impact on the success of the firm＊s most valuable asset, our people.
RESPONSIBILITIES AND QUALIFICATIONS
YOUR IMPACT
Are you a looking for a new opportunity in the field of Organizational Research? Would you like to apply I/O Psychology best practices and scientific research methods to help advance Goldman Sach＊s people strategy? We have an excellent position available within this newly formed group within the Human Capital Management (HCM) division.

You will be valued for your intellectual curiosity and your innovative approach to problem-solving. You will have direct impact on the success of the firm＊s most valuable asset: our people.

OUR IMPACT
As a division, HCM recruits, develops, and rewards the people of Goldman Sachs. Our teams advise, design, and implement strategies, processes, and technologies that help our people advance professionally, drive productivity, and help the firm and our clients achieve superior results.

Team members within Organizational Research provide science-based solutions for the betterment of our people and culture, from the individual to the organization level. To attain this, we use a wide variety of tools to help drive our analysis and work on highly commercial, influential projects that impact everyone at the firm.

HOW YOU WILL FULFILL YOUR POTENTIAL

QUALIFICATIONS
We are offering an Associate role in Organizational Research. This client-facing opportunity will require the individual to leverage his/her subject matter expertise in I/O Psychology and skills in research methods, to help HCM functions utilize an evidence-based approach to make better people decisions. The role will provide the individual the opportunity to work and consult on cross-HCM projects in close partnership with functional, divisional and regional teams throughout the firm. We offer a fast-paced, dynamic, team-oriented environment to help drive the future of HCM. Responsibilities will include:

Playing a key role in designing, executing, and measuring the effectiveness of global HCM programs, which will include identifying issues, forming hypotheses, synthesizing conclusions and presenting recommendations to key stakeholders
Focusing on research &amp; development, combining scholarly literature reviews and real world, practical applications of findings
Working with our data scientists to leverage various statistical techniques to present solutions for a variety of HCM functions
Engaging with key stakeholders within HCM to provide strategic advice, leveraging data and trend analysis
Communicating findings and recommendations on critical initiatives and influencing leaders to take action on those findings
Managing relationships with subject matter experts, academics, and other key company stakeholders

SKILLS &amp; EXPERIENCE WE＊RE LOOKING FOR

BASIC QUALIFICATIONS
PhD degree preferred, but not required (ABD acceptable as well)
Strong academic background in a relevant field 每 Industrial/Organizational Psychology, Organizational Behaviour, Behavioral Science preferred
At least 3+ years of corporate work experience
Background in conducting statistical analyses
Previous experience in developing surveys and analyzing survey results
Excellent interpersonal and communication skills, both written and oral
Highest attention to detail and the ability to handle sensitive and confidential information with the utmost discretion and care
Ability to think creatively in order to solve organizational problems
Capable of working autonomously and with a degree of ambiguity
Ability to work well on a team

PREFERRED QUALIFICATIONS
Prior experience presenting to senior stakeholders
Assessment, validation, and job analysis work experience
Experience supporting the development of psychometrically-sound assessment
Previous experience in developing training programs
Background in statistical computing systems like R, MATLAB, SAS, etc.
Experience with business intelligence frameworks like Tableau, Alteryx, or Business Objects
ABOUT GOLDMAN SACHS
The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world.

<U+00A9> The Goldman Sachs Group, Inc., 2018. All rights reserved Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Vet."
"787","Data Intelligence - Research & Development Engineer","goldman sachs","MORE ABOUT THIS JOB
WHO WE ARE

Goldman Sachs is a leading global investment banking, securities and investment management firm that provides a wide range of services worldwide to a substantial and diversified client base that includes corporations, financial institutions, governments and high net-worth individuals.

Founded in 1869, it is one fo the oldest, and largest investment banking firms. The firm is headquartered in New York and maintains offices in London, Bangalore, Frankfurt, Tokyo, Hong Kong and other major financial centres around the world.

We are committed to growing our distinctive culture and holding to our core values which always place our client's interests first. These values are reflected in our Business Principles, which emphasise integrity, commitment to excellence, innovation and teamwork.

TEAM OVERVIEW

The Goldman Sachs central machine learning team uses predictive modeling, natural language processing, anomaly detection, time series, forecasting, deep learning, and other techniques on high-volume and high-velocity data to solve problems of significant business value across multiple divisions of the firm.
RESPONSIBILITIES AND QUALIFICATIONS
ROLE AND RESPONSIBILITIES

A research scientist in this team is responsible for deeply understanding one or more problem spaces, identifying high impact business opportunities, clearly formulating them as machine learning tasks, deftly designing and developing performant, scalable, and resilient algorithms and solutions, readily deploying the solutions, monitoring performance to ensure the desired business impact, and effectively communicating broadly at the firm. Research scientist have a PhD or equivalent in machine learning or a closely related area.

A research engineer has similar responsibilities, with a greater emphasis on software engineering and a lesser emphasis on independent algorithm and solution design. Research engineers have an MS or equivalent in machine learning or computer science or closely related area.

ESSENTIAL SKILLS
Understanding of applied statistics and fundamental ML principles and techniques
Ability to apply fundamental algorithms and data structures to efficiently solve computational problems
Working knowledge of more than one programming language (Python, R, Java, C++ etc.)
Ability to stay commercially focused and to always push for quantifiable commercial impact
Strong work ethic, a sense of ownership ad urgency
Strong analytical and problem solving skills
Ability to collaborate effectively across global teams and communicate complex ideas in a simple manner

YOU CAREER

Goldman Sachs is a meritocracy where you will be given all the tools to advance your career. At Goldman Sachs, you will have access to excellent training programmes designed to improve multiple facets of your skill portfolio. Our in-house training programme, ""Goldman Sachs University"" offers a comprehensive series of courses that you will have access to as your career progresses. Goldman Sachs University has an impressive catalogue of courses which span technical, business and leadership skills.

ABOUT GOLDMAN SACHS
The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world.

<U+00C2><U+00A9> The Goldman Sachs Group, Inc., 2018. All rights reserved Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Vet."
"788","Senior Associate, Data Scientist","capital one","11 West 19th Street (22008), United States of America, New York, New York

At Capital One, we＊re building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.

Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.

Senior Associate, Data Scientist

At Capital One, data is at the center of everything we do. When we launched as a startup we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making.

As a Data Scientist at Capital One, you＊ll be part of a team that＊s leading the next wave of disruption at a whole new scale, using the latest in distributed computing technologies and operating across billions and billions of customer transactions to unlock the big opportunities that help everyday people save money, time and agony in their financial lives.

 On any given day you＊ll be:Using Big Data tools (Hadoop, Spark, H2O, AWS) to conduct the analysis of billions of customer transaction recordsWriting software to clean and investigate large, messy data sets of numerical and textual dataIntegrating with external data sources and APIs to discover interesting trendsBuilding machine learning models from development through testing and validation to our 30+ million customers in productionDesigning rich data visualizations to communicate complex ideas to customers or company leadersInvestigating the impact of new technologies on the future of digital banking and the financial world of tomorrow

The Ideal Candidate will be:Curious. You ask why, you explore, you're not afraid to blurt out your disruptive idea. You probably know Python, Scala, or R and you＊re constantly exploring new open source tools.Wrangler. You know how to programmatically extract data from a database and an API, bring it through a transformation or two, and model it into human-readable form (ROC curve, map, d3 visualization, Tableau, etc.).Creative. Big, undefined problems and petabytes of data don't frighten you. You＊re used to working with abstract data, and you love discovering new narratives in unmined territories.

Twenty-five years after Capital One was started it＊s still led by its founder. Be ready to join a community of the smartest people you＊ve ever met, who see the customer first, and want to use their data skills to make a difference.

 Basic Qualifications:Bachelor＊s Degree plus 2 years of experience in data analytics, or Master＊s Degree, or PhDAt least 1 year of experience in open source programming languages for large scale data analysisAt least 1 year of experience with machine learningAt least 1 year of experience with relational databases

Preferred Qualifications:Master＊s Degree or PhDExperience working with AWSAt least 2 years＊ experience in Python, Scala, or RAt least 2 years＊ experience with machine learningAt least 2 years＊ experience with SQL

Capital One will consider sponsoring a new qualified applicant for employment authorization for this position."
"789","Applied Research Scientist, Core Machine Learning","facebook","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities 〞 we're just getting started.
We are looking for experienced applied researchers in machine learning and AI with strong software engineering skills. The Core Machine Learning Team is part of the Applied Machine Learning organization. The team carries out applied research in ML/AI and designs, develops and deploys state of the art ML/AI algorithms to the rest of Facebook. The team has developed and optimized various algorithms including Neural Networks, Boosted Decision Trees, Sparse Linear Models, and Deep Learning for several ranking teams including Ads, Feed, Search, Instagram and others.
RESPONSIBILITIES

Develop highly scalable algorithms based on state-of-the-art machine learning and neural network methodologies

Combine broad and deep knowledge of relevant research domains with the ability to synthesize a wide range of requirements to make significant contributions to the feature roadmap for the applied machine learning platform

Apply expert coding skills to platform development projects in partnership with other engineers on ranking and infrastructure teams

Adapt machine learning and neural network algorithms and architectures to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)
MINIMUM QUALIFICATIONS

MS degree in Computer Science or related quantitative field with 5+ years of relevant experience, or Ph.D degree in Computer Science or related quantitative field

Knowledge of machine learning and deep learning research

Experience building systems based on machine learning and/or deep learning methods

Knowledge developing and debugging in C/C++, Java, and/or Scala

Experience with filesystems, server architectures, and distributed systems"
"790","Research Scientist (AI)","facebook","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities 〞 we're just getting started.
Facebook is seeking a Research Scientist to join Facebook AI Research (FAIR), a research organization focused on making significant progress in AI. Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational statistics, and applied mathematics, particularly including areas such as deep learning, graphical models, reinforcement learning, computer perception, natural language processing and data representation. The ideal candidate will have a keen interest in producing new science to understand intelligence and technology to make computers more intelligent. To learn more about our research, visit https://research.facebook.com (https://research.facebook.com/).
RESPONSIBILITIES

Lead research to advance the science and technology of intelligent machines.

Lead research that enables learning the semantics of data (images, video, text, audio, speech and other modalities).

Devise better data-driven models of human behavior.

Work towards long-term ambitious research goals, while identifying intermediate milestones.

Influence progress of relevant research communities by producing publications.

Contribute research that can be applied to Facebook product development.

Lead and collaborate on research projects within a globally based team.
MINIMUM QUALIFICATIONS

Currently holding a faculty, industry, or government researcher position.

Ph.D. and publications in machine learning, AI, computer science, statistics, applied mathematics, data science, or related technical fields.

Experience leading a team in solving analytical problems using quantitative approaches.

Experience manipulating and analyzing data from different sources.

Experience in theoretical and empirical research and for answering questions with research.

Ability to communicate research for public audiences of peers.

Knowledge in a programming language.

Ability to obtain and maintain work authorization in the country of employment in 2018.
PREFERRED QUALIFICATIONS

1+ year(s) of work experience in a university, industry, or government lab(s), in a role with primary emphasis on AI research.

Experience driving original scholarship in collaboration with a team.

First-author publications at peer-reviewed AI conferences (e.g. NIPS, CVPR, ICML, ICLR, ICCV, and ACL).

Experience in developing and debugging in C/C++, Python, C# and/or Java."
"791","Aso/ VP- Junior Research Analyst","bank of america","Job Description:

Description:
The candidate will work alongside their Senior Analyst and Junior Analyst peers in all aspects, from idea generation to company meetings, including but not limited to the following:
Perform complex financial modeling &amp; valuation work.Write regular industry and company reports and company launch initiations from scratch.Develop databases integral to our research product.Demonstrate strong industry knowledge and business judgment.Work with Senior Analysts to develop key industry themes.Build relationships and facilitate information flow with contacts at covered companies.Participate and contribute to client meetings and events.Attend meetings and interact with key opinion leaders.Closely follow and understand market, industry and company specific activity, and relay to analyst when traveling.Seek out new, value-added, and/or unusual sources of information.Leverage our robust network of industry contacts.Interact regularly with clients.

Qualifications:
Can be hired as a Associate or Vice President level (Band 6 or 5)
The candidate MUST be able to thrive in a fast-paced and intense environment.
Bachelors Degree
Major(s) and areas of academic excellence must include Accounting and Finance.
Strong writing and spreadsheet skills. Must be an expert at MS Word and MS Excel.
Must enjoy working in industry databases and websites, and doing desktop and field research.
Along with Finance and Accounting, should have basic understanding of economics, macroeconomic factors, international affairs, and policy/politics.
Must have excellent communication skills, written and verbal.
Must have strong attention to detail, ability to multi-task.
Must work well in a collaborative team environment.

Shift:
1st shift (United States of America)

Hours Per Week:
40"
"792","Senior Research Scientist","amazon.com","Job Description
Amazon＊s Advertising Analytics and Insights team is looking for a motivated and experienced research scientist to join research and publication efforts focused on changing the way data is used to drive advertising success. We are a startup within one of the fastest growing and most strategic parts of Amazon. Our team owns the product, technology and deployment roadmap for advanced analytics and insight products across our advertiser success team. Advertiser success is core to Amazon＊s growth, as it helps our suppliers drive awareness, consideration, and purchase of their products by hundreds of millions of consumers around the world, and generates revenue which helps us lower prices and invest in improvements to our customer experience. We are a highly motivated, collaborative and fun-loving team with an entrepreneurial spirit and bias for action. With a broad mandate to experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.

As a member of the A&amp;I Research Science you contribute to exploratory research and prototyping projects working with huge retail and advertising data sets to provide one-of-a-kind insights for our customers. Our exploratory research and prototyping projects span statistics, econometrics, machine learning and operational research domains with a focus on the intersection of these domains with marketing science. You are also responsible for writing and publishing articles that distinguish Amazon as a cutting edge thought leader in the ecommerce marketing and advertising space. We are looking for a researcher who can thrive in a startup environment, thinks big, can move fast, and wants to change the way customers use data to drive business success. If you excel at proposing and developing unique analytical insights and are passionate about creating the future, come join us as we work hard, have fun, and make history.
Key Responsibilities Include:
Implement and deploy state of the art models, build prototypes and explore conceptually new solutions.Interact closely with our customers and with the academic community.Set and maintain a high bar for writing and publishing articles.
Basic Qualifications
PhD in Operational Research, Statistics, Engineering, Math, Economics, Computer Science or other technical fields.5+ years of research experience in ML, OR, econometrics or statistics.Strong track record of high quality and high impact technical publications.Proven written and verbal communication skills to convey complicated processes and systems to business partners.
Preferred Qualifications
5+ years of research experience in ML, OR, econometrics or statistics with a marketing science focus. Areas of specific interest are game theory, advertising effectiveness, incrementality, choice modeling and market structure.Improve and accelerate our technology with science, statistical modeling, algorithm design, and prototyping.Understand business context to decisions made within and across groups.Recognize and help hire top talent in your field.Mentor others in achieving their career growth potential.Drive an independent research agenda that is well-aligned with business needs.Experience with tools and technologies enabling self-sufficiency in data analysis and modeling such as R, python, Hive, Pig, SQL, or other scripting languages.
Amazon.com is an Equal Opportunity Employer 每 Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation."
"793","Research Scientist, Machine Learning (PhD University Grad)","facebook","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities 〞 we're just getting started.
At Facebook, we use machine learning across a diverse set of applications to help people discover better content more quickly, and to connect with the things that matter most to them. We strive to find ways to deliver more engaging content in News Feed, rank search results more accurately, and present the most relevant ads possible.


In order to meet the demands of our scale, we approach machine learning challenges from a system engineering standpoint, pushing the boundaries of scalable computing and tying together numerous complex platforms to build models that leverage trillions of actions. Our research and production implementations leverage many of the innovations being generated from Facebook's research in Distributed Computing, Artificial Intelligence and Databases, and run on the same hardware and network specifications that are being open sourced through the Open Compute project.


As a Software Engineer or Research Scientist at Facebook, you will help build the next generation of machine learning systems behind Facebook's products, create web applications that reach millions of people, build high volume servers and be a part of a team that＊s working to help connect people around the globe.
RESPONSIBILITIES

Develop highly scalable classifiers and tools leveraging machine learning, regression, and rules-based models

Suggest, collect and synthesize requirements and create effective feature roadmap

Code deliverables in tandem with the engineering team

Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)

Perform specific responsibilities which vary by team
MINIMUM QUALIFICATIONS

Currently has or is in the process of obtaining a PhD degree or completing a postdoctoral assignment in the field of Machine Learning or similar

Must be available to start employment on or before December 31, 2019

Interpersonal experience: cross-group and cross-culture collaboration

Able to obtain work authorization in the US beginning in 2019

Research and/or work experience in machine learning, NLP, recommendation systems, pattern recognition, signal processing, data mining, artificial intelligence, information retrieval or computer vision

Experience in systems software or algorithms

Knowledge in Java or C++, Perl, PHP or Python

Problem solving experience

Proven track record of achieving results as demonstrated by grants, fellowships, patents, as well as first-authored publications at workshops or conferences such as ICML, NIPS, KDD or similar

Demonstrated software engineer experience via an internship, work experience, coding competitions, or used contributions in open source repositories (e.g. GitHub)"
"794","Sr. Applied Scientist","amazon.com","Job Description
Amazon is looking for a passionate, talented, and inventive Sr Scientist with a strong machine learning background to help build industry-leading Speech and Language technology. Our mission is to push the envelope in Automatic Speech Recognition (ASR), Natural Language Understanding (NLU), and Audio Signal Processing, in order to provide the best-possible experience for our customers.

As a Sr Scientist, you will work with talented peers to develop novel algorithms and modeling techniques to advance the state of the art in spoken language understanding. Your work will directly impact our customers in the form of products and services that make use of speech and language technology. You will leverage Amazon＊s heterogeneous data sources and large-scale computing resources to accelerate advances in spoken language understanding.

We are hiring in all areas of spoken language understanding: ASR, NLU, text-to-speech (TTS), and Dialog Management.
Basic Qualifications
Basic Qualifications
Graduate degree (MS or PhD) in Electrical Engineering, Computer Sciences, or Mathematics with specialization in speech recognition, natural language processing, or machine learning.
Familiar with programming languages such as C/C++, Java, Perl or Python.
Preferred Qualifications
Preferred Qualifications:
Experience in building speech recognition and natural language processing systems (e.g. commercial speech products or government speech projects)
Solid Machine Learning background and familiar with standard speech and machine learning techniques.
Scientific thinking and the ability to invent, a track record of thought leadership and contributions that have advanced the field
Solid software development experience
Good written and spoken communication skills.
To learn more about the Digital Products team at Amazon, visithttp://www.amazon.com/careers/digitalproducts and apply now.

Amazon is an Equal Opportunity-Affirmative Action Employer - Female/Minority/Disability/Veteran/Gender Identity/Sexual Orientation

speech-jobs"
"795","Machine Learning Engineer","ibm","Job Description
Job Description
We live in a moment of remarkable change and opportunity. The convergence of data and technology is transforming industries and society. IBM Digital Business Group plays a key role in developing and supporting IBM＊s technology to be digital ready.

The current opportunity is a role with the Unified Messaging Experience team who promote a fresh and energetic approach to innovation, creativity and solution architecture within the entire Digital Business Group. We heavily use advanced technology such as AI, Blockchain and keep on pushing the boundaries. An approach that is borne out by many active projects within our team that have yielded several success stories to date. The principles of collaboration, knowledge sharing and leadership are promoted within our team and are the foundations that enable motivated individuals with diverse skills to function as part of a highly productive and innovative team.

Key Responsibilities:
IBM is innovating rapidly in Digital space and our group is helping IBM achieve that goal by doing creative and innovative work in Digital Messaging space. We are currently looking for a suitable candidate to be part of an innovative and ambitious team with

Responsibilities including:
Identify and propose new use cases
Break those use cases down into discrete MVPs (minimal viable product)
Work in code notebooks
Build &amp; validate models
Deploy models via APIs into applications or workflows
Monitor &amp; retrain models
Use code repositories to version and share code/notebooks
Visualize the output of their data story in a way that is consumable by all
Create Machine Learning pipelines and train models.


Required Technical and Professional Expertise

1-4 years of professional experience in Machine Learning/AI and statistics.
Outstanding expertise and hands-on experience on machine learning, text analysis, data mining, and NLP.
Experience of incorporating ML &amp; AI concepts into product/service solutions with a focus on deep learning.
Solid experience in using Python numerical and scientific libraries like numPy and sciPy.
1+ year of experience working with Machine Learning pipeline - data ingestion, feature engineering, modeling including ensemble methods, predicting, explaining, deploying and diagnosing ML models.

Preferred Tech and Prof Experience

Experience with deep learning frameworks such as Keras, Tensorflow will be a big plus.
Experience with Curating Big Data Sets.
Familiarity with open source big data solutions, such as Apache Hadoop, Spark, and Kafka.
Experience working on textual datasets.
Experience working with offering managers and product teams
Experience in sharing data science/machine learning experiment results with both technical and business oriented people.
Innovative mindset and an ability to take calculated risks with a fall back plan in the back pocket.
MS/PhD holder in CS or related fields with 1-4 years of professional experience in Machine Learning/AI and statistics.

EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
